Gene,avg_log2FC
NF2,1.59222433391614
RBFOX2,4.57396975819427
PRR5,4.51765179519879
PRAC2,4.07094442723264
CANT1,2.93319985317468
RNF167,1.89753869942006
PARM1,2.34857301983454
NIFK,3.85689482450588
PPAPDC1B,5.02185529331954
DSP,1.35276064483355
STMN1,1.86087508308916
MTPN,3.1049461068209
SRSF3,2.29068856539671
CD68,4.25570740396524
CUL5,2.96972090642134
RPL39,2.43384711410341
DDX21,4.01125602018942
DARS,1.59965910134267
SATB2,1.00300432161211
SKAP2,2.91808717646953
MUC2,2.0348467328525
NUS1,2.23578889981322
MICALL2,1.18136958323325
PAPSS2,2.75954472875868
GLTP,1.99653670272098
AP5M1,2.75348639192842
MYEOV,2.50235568400181
LRRC41,2.29540751340695
CAPN15,2.36331171764777
GLRX,2.6719219895305
MICU2,2.68271966263866
NDUFA3,1.7657304232971
ITGAE,1.76166195375985
ELP2,1.8183587025876
FTH1,-2.82721624620709
LYPLA1,1.78644341160578
USP34,3.02809221131739
PDPK1,2.56902922215189
ESD,1.7148286049532
HNRNPH3,2.34215568676264
POLR2K,2.12272551403855
TOP1,1.7077029426321
CHP1,1.6642921943179
SI,3.28094413146352
SNX7,3.09556436686999
GSTP1,2.04885101071726
LPGAT1,3.91454691607946
AKR1B10,3.47776880302004
HECTD1,2.63881733290785
MICAL3,2.7212517687251
C7orf50,3.6157754915302
FAM3C,3.19286711578311
BTF3L4,3.68525440202158
CDC42SE2,1.87928679177369
USP48,2.15450287691053
AXDND1,2.78204941501209
GPN1,3.13857615508453
SLC39A14,2.98880860086475
CSTF3,2.24188412950286
CARKD,3.13748868188558
NSF,3.1861547982311
HOXB9,2.91076987814095
GATAD2A,2.91556456982327
CD74,2.79717855751988
KALRN,2.15423645210984
C4orf33,2.56247071423261
TRIM2,1.89616646092375
RSBN1L-AS1,3.25754204770729
HNRNPUL2,3.23448483224584
RASL11A,1.29325357537088
NARFL,2.29616701713758
ELAC2,2.86845915775668
LEPREL1,2.42793338183717
CETN3,1.95354964398642
HMGN5,2.25918671859251
UBE2W,0.691235017088244
NPDC1,1.88850970681499
NKIRAS2,2.77035717930761
AP2A1,2.52317194056869
LINC00998,2.37288531261456
SLC44A2,2.72971444986885
TSNAX,2.40701623684466
MCEE,1.37459230084493
CCDC58,1.65477362206844
ATP11B,1.23771474456033
HLA-DMA,1.81853389631195
SC5D,1.51906036992853
ATXN7L3B,1.1904399610402
DENR,0.863901201977054
KLC1,0.941440825897604
KIAA0101,2.29619535818773
DNAJC3,2.23445792079662
EML2,2.57350968521571
ERLEC1,2.51275394501009
GLO1,1.79516028248005
SYNCRIP,2.28238418634757
CTBS,2.42306527598151
FAM118B,2.55943417730185
MGST1,2.14673944271619
MT-ND4L,2.41019398914684
EPAS1,2.03637378448208
FAM129B,2.20511648908915
ALDH3A2,2.18786816319583
CNNM4,2.21311252104727
FCGBP,3.29580724880162
RNF187,5.0819395064009
ZBTB7A,1.77688599948213
FAM192A,1.4740988727247
MT1G,-4.45558967351968
DDX18,1.96738473175024
GLUD1,1.48419344425653
NT5C3A,2.73188457676405
PKP2,3.59562964033587
